company_id,company_name,country,industry,company_size,employee_count,annual_revenue,registration_date,city,region,status
C00033,AetherCloud 33,USA,FinTech,Small,18,266118,2024-11-19,Hawassa,Sidama,Active
C00034,Addis Services,Ethiopia,Real Estate,Micro,6,77260,2024-06-02,Addis  Ababa,Addis Ababa,Active
C00035,Awash Import Export,Ethiopia,Manufacturing,Medium,235,1529464,2023-09-05,Dire Dawa,Dire Dawa,Active
C00036,PrismAI 36,USA,EdTech,Medium,205,341255,2023-04-29,Hawassa,Sidama,Active
C00037,Oromia Manufacturing,Ethiopia,Tourism,Micro,8,138256,2022-03-04,Addis Ababa,Addis Ababa,Active
C00038,HelixNet 38,USA,E-Commerce,Large,2168,6279065,2023-01-04,Arba Minch,SNNPR,Active
C00039,Abay Agro,Ethiopia,Construction,Small,42,442838,2024-10-22,Dire Dawa,Dire Dawa,Active
C00040,Nile Investment,Ethiopia,Retail,Small,23,149391,2024-06-05,Addis Ababa,Addis Ababa,Active
C00041,Harar Textile,Ethiopia,Real Estate,Small,39,134971,2023-09-17,Addis Ababa,Addis Ababa,Active
C00042,Addis Manufacturing,Ethiopia,Agriculture,Small,29,357231,2022-10-24,Bahir Dar,Amhara,Active
C00043,CobaltIO 43,USA,Technology,Small,11,76639,2024-04-02,Gondar,Amhara,Active
C00044,QuantumWorks 44,USA,EdTech,Micro,3,525314,2022-02-05,Mekelle,Tigray,Active
C00045,CipherData 45,USA,E-Commerce,Medium,162,1438493,2024-11-29,Dessie,Amhara,Active
C00046,HelixIO 46,USA,Healthcare Tech,Micro,8,93140,2024-10-15,Addis Ababa,Addis Ababa,Suspended
C00047,Tigray Textile,Ethiopia,Manufacturing,Small,32,68335,2023-03-09,Shashamane,Oromia,Active
C00048,Awash Construction,Ethiopia,Agriculture,Small,42,86599,2022-02-13,Addis Ababa,Addis Ababa,Active
C00049,Nile Investment,Ethiopia,Real Estate,Micro,8,26699,2022-04-16,Hawassa,Sidama,Active
C00050,Gambella Trading,Ethiopia,Tourism,Large,1584,8539910,2025-08-03,aDDIS aBABA,Addis Ababa,Dissolved
C00051,Amhara Trading,Ethiopia,Real Estate,Large,2192,2857875,2022-10-14,Shashamane,Oromia,Active
C00052,Addis Real Estate,Ethiopia,Tourism,Small,28,58718,2025-07-04,Dire Dawa,Dire Dawa,Active
C00053,VortexAI 53,USA,E-Commerce,Micro,1,93288,2024-10-23,Dire Dawa,Dire Dawa,Active
C00054,AetherHub 54,USA,Cloud Services,Micro,5,48968,2025-11-07,Addis Ababa,Addis Ababa,Active
C00055,NexusSolutions 55,USA,Consulting,Micro,7,93870,2024-02-18,Nekemte,Oromia,Active
C00056,VertexHub 56,USA,FinTech,Small,31,59959,2024-05-24,Dessie,Amhara,Active
C00057,FluxDigital 57,USA,Cloud Services,Medium,68,160875,2023-12-27,Addis Ababa,Addis Ababa,Active
C00058,Rift Construction,Ethiopia,Import/Export,Small,10,59128,2025-01-07,Bahir Dar,Amhara,Active
C00059,ZenithData 59,USA,Technology,Small,12,53132,2024-10-07,Dessie,Amhara,Active
C00060,ApexTech 60,USA,E-Commerce,Micro,1,161385,2025-04-17,Addis Ababa,Addis Ababa,Active
C00061,VertexAI 61,USA,EdTech,Micro,1,238421,2023-12-08,Dire Dawa,Dire Dawa,Active
C00062,CascadeHub 62,USA,FinTech,Small,42,241775,2023-09-02,Addis Ababa,Addis Ababa,Active
C00063,Simien Textile,Ethiopia,Construction,Micro,5,51863,2022-07-28,Jijiga,Somali,Active
C00064,StratosSystems 64,USA,Logistics,Medium,180,3180525,2025-01-21,Mekelle,Tigray,Active
C00065,VertexDynamics 65,USA,Logistics,Large,1971,9521911,2025-12-25,Adama,Oromia,Active
C00066,CascadeAI 66,USA,E-Commerce,Micro,9,41263,2023-08-15,Jimma,Oromia,Active
C00067,Addis PLC,Ethiopia,Agriculture,Micro,4,56964,2023-02-14,Addis Ababa,Addis Ababa,Active
C00068,VertexWorks 68,USA,FinTech,Micro,7,283822,2025-05-02,Mekelle,Tigray,Active
C00069,Awash Investment,Ethiopia,Construction,Small,18,24404,2022-04-22,Jijiga,Somali,Active
C00070,Tana Textile,Ethiopia,Retail,Small,37,246097,2022-01-22,Hosaena,SNNPR,Active
C00071,ZenithSystems 71,USA,Healthcare Tech,Micro,5,47044,2024-10-27,Adama,Oromia,Active
C00072,Nile Services,Ethiopia,Import/Export,Micro,3,60634,2024-07-20,Addis Ababa,Addis Ababa,Active
C00073,Awash Agro,Ethiopia,Import/Export,Large,670,1599229,2025-02-08,Addis Ababa,Addis Ababa,Active
C00074,PrismHub 74,USA,Cloud Services,Small,48,227411,2024-07-03,Bishoftu,Oromia,Active
C00075,VertexSystems 75,USA,Healthcare Tech,Micro,6,81149,2025-05-24,Mekelle,Tigray,Active
C00076,AetherDynamics 76,USA,Healthcare Tech,Micro,5,188054,2024-03-24,Bahir Dar,Amhara,Active
C00077,IonicIO 77,USA,EdTech,Small,19,152756,2022-03-01,Addis Ababa,Addis Ababa,Active
C00078,StratosNet 78,USA,Healthcare Tech,Medium,218,807702,2025-02-10,Addis Ababa,Addis Ababa,Active
C00079,Tana Textile,Ethiopia,Manufacturing,Large,1195,4893363,2023-12-29,Debre Birhan,Amhara,Active
C00080,EmberVentures 80,USA,FinTech,Micro,6,75361,2025-02-22,Dire Dawa,Dire Dawa,Dissolved
C00081,NovaWorks 81,USA,Cloud Services,Small,11,132201,2024-08-14,Adama,Oromia,Active
C00082,CobaltData 82,USA,FinTech,Micro,6,185246,2022-04-07,Addis Ababa,Addis Ababa,Active
C00083,Lalibela Construction,Ethiopia,Import/Export,Small,35,645219,2025-08-24,Addis Ababa,Addis Ababa,Active
C00084,OrbitLabs 84,USA,Technology,Small,25,145782,2022-01-29,Bishoftu,Oromia,Active
C00085,Rift Investment,Ethiopia,Tourism,Micro,8,80197,2022-11-21,Adama,Oromia,Active
C00086,Simien Agro,Ethiopia,Tourism,Large,2211,45485002,2022-12-09,Dire Dawa,Dire Dawa,Active
C00087,OrbitGroup 87,USA,FinTech,Micro,3,85637,2024-08-10,Addis Ababa,Addis Ababa,Active
C00088,Nile Textile,Ethiopia,Import/Export,Medium,82,257709,2023-01-30,Addis Ababa,Addis Ababa,Active
C00089,VortexIO 89,USA,E-Commerce,Micro,1,260478,2025-10-26,Bahir Dar,Amhara,Suspended
C00090,Gambella Trading,Ethiopia,Import/Export,Small,24,144230,2024-11-19,Harar,Harari,Active
C00091,NexusNet 91,USA,FinTech,Micro,1,42483,2023-07-05,Dire Dawa,Dire Dawa,Active
C00092,Amhara PLC,Ethiopia,Agriculture,Enterprise,49325,216497157,2025-03-03,Shashamane,Oromia,Active
C00093,NovaIO 93,USA,Consulting,Small,45,506798,2024-09-03,Addis Ababa,Addis Ababa,Active
C00094,VortexAI 94,USA,EdTech,Small,34,139375,2023-06-18,Addis Ababa,Addis Ababa,Active
C00095,CobaltData 95,USA,Consulting,Large,2294,3971746,2022-08-12,Addis Ababa,Addis Ababa,Active
C00096,ZenithSystems 96,USA,Healthcare Tech,Small,46,378714,2022-05-24,Dessie,Amhara,Active
C00097,Addis Investment,Ethiopia,Construction,Medium,203,395455,2022-03-14,Gondar,Amhara,Active
C00098,NexusGroup 98,USA,EdTech,Small,19,142781,2023-01-25,Nekemte,Oromia,Active
C00099,HelixLabs 99,USA,EdTech,Small,43,679506,2023-11-10,Dilla,SNNPR,Active
C00100,Rift Construction,Ethiopia,Manufacturing,Medium,106,843159,2023-04-26,Adama,Oromia,Active
C00101,Lalibela Services,Ethiopia,Retail,Small,43,66131,2025-07-02,Hosaena,SNNPR,Suspended
C00102,QuantumAI 102,USA,Consulting,Small,32,278106,2022-03-17,Hawassa,Sidama,Dissolved
C00103,QuantumAI 103,USA,Logistics,Micro,2,59987,2024-08-29,Dessie,Amhara,Active
C00104,StratosCloud 104,USA,Logistics,Medium,231,739664,2024-03-01,Dilla,SNNPR,Active
C00105,QuantumSystems 105,USA,Technology,Micro,4,34767,2025-12-27,Addis Ababa,Addis Ababa,Active
C00106,Awash Textile,Ethiopia,Retail,Medium,112,525880,2024-07-04,Dire Dawa,Dire Dawa,Active
C00107,ZenithDigital 107,USA,Technology,Micro,4,45095,2022-12-02,Mekelle,Tigray,Active
C00108,CipherHub 108,USA,Consulting,Micro,3,156421,2023-12-10,Dire Dawa,Dire Dawa,Active
C00109,ZenithHub 109,USA,FinTech,Small,33,109586,2022-02-06,Sodo,SNNPR,Active
C00110,Nile Trading,Ethiopia,Retail,Small,46,231032,2022-05-23,Mekelle,Tigray,Suspended
C00111,Tigray Textile,Ethiopia,Agriculture,Micro,3,93929,2024-05-31,Bahir Dar,Amhara,Active
C00112,FluxLabs 112,USA,Cloud Services,Micro,9,20368,2025-08-25,Shashamane,Oromia,Active
C00113,Gambella Real Estate,Ethiopia,Construction,Micro,6,113772,2024-05-29,Nekemte,Oromia,Active
C00114,Abay PLC,Ethiopia,Manufacturing,Micro,5,38286,2025-02-07,Mekelle,Tigray,Active
C00115,VortexLabs 115,USA,FinTech,Micro,5,95229,2025-01-16,Bahir Dar,Amhara,Suspended
C00116,CascadeTech 116,USA,Logistics,Medium,53,228146,2024-08-23,Dire Dawa,Dire Dawa,Suspended
C00117,Addis PLC,Ethiopia,Retail,Small,40,59055,2022-01-10,Bishoftu,Oromia,Active
C00118,HelixGroup 118,USA,Consulting,Medium,119,4144639,2024-02-12,Mekelle,Tigray,Suspended
C00119,IonicGroup 119,USA,E-Commerce,Large,3744,6911819,2023-09-16,Shashamane,Oromia,Active
C00120,Abay Trading,Ethiopia,Tourism,Medium,102,388497,2025-12-13,Addis Ababa,Addis Ababa,Active
C00121,NexusSolutions 121,USA,Technology,Micro,5,66772,2023-08-28,Dire Dawa,Dire Dawa,Active
C00122,QuantumData 122,USA,Healthcare Tech,Large,3542,28972695,2023-04-27,Sodo,SNNPR,Active
C00123,ZenithSolutions 123,USA,EdTech,Small,27,119966,2023-11-11,Jimma,Oromia,Active
C00124,EmberVentures 124,USA,FinTech,Small,20,37229,2024-11-22,Addis Ababa,Addis Ababa,Active
C00125,Harar Investment,Ethiopia,Agriculture,Small,15,77300,2022-06-08,Addis Ababa,Addis Ababa,Active
C00126,NexusCloud 126,USA,E-Commerce,Large,4372,51647462,2025-08-26,Jijiga,Somali,Active
C00127,CobaltGroup 127,USA,Consulting,Large,478,3560930,2025-07-20,Shashamane,Oromia,Active
C00128,NexusSystems 128,USA,Technology,Small,40,187762,2023-06-15,Addis Ababa,Addis Ababa,Suspended
C00129,Abay Real Estate,Ethiopia,Tourism,Enterprise,28402,134552813,2023-09-29,Hawassa,Sidama,Suspended
C00130,NovaSolutions 130,USA,Cloud Services,Small,38,135105,2022-11-26,Adama,Oromia,Active
C00131,ApexAI 131,USA,Healthcare Tech,Small,36,112879,2025-03-16,Addis Ababa,Addis Ababa,Active
C00132,ApexNet 132,USA,Cloud Services,Small,29,217633,2024-04-22,Addis Ababa,Addis Ababa,Active
C00133,CipherAI 133,USA,E-Commerce,Micro,8,47384,2023-01-27,Addis Ababa,Addis Ababa,Active
C00134,VortexData 134,USA,E-Commerce,Small,14,43485,2023-07-26,Sodo,SNNPR,Active
C00135,QuantumLabs 135,USA,Technology,Large,3875,86052733,2022-07-11,Hawassa,Sidama,Active
C00136,QuantumAI 136,USA,Logistics,Medium,191,1226749,2025-04-26,Arba Minch,SNNPR,Active
C00137,FluxNet 137,USA,Consulting,Micro,4,80322,2024-12-27,Jijiga,Somali,Suspended
C00138,FluxIO 138,USA,FinTech,Medium,151,337036,2023-04-27,Addis Ababa,Addis Ababa,Active
C00139,PrismData 139,USA,Technology,Small,11,14677,2023-09-14,Addis Ababa,Addis Ababa,Active
C00140,ApexNet 140,USA,Consulting,Medium,199,561590,2022-08-20,Dessie,Amhara,Active
C00141,IonicSystems 141,USA,Cloud Services,Small,49,118930,2022-06-07,Mekelle,Tigray,Active
C00142,ApexCloud 142,USA,FinTech,Medium,204,830700,2022-09-06,Mekelle,Tigray,Active
C00143,AxiomTech 143,USA,Technology,Enterprise,6586,66414516,2025-09-11,Adama,Oromia,Active
C00144,Nile Real Estate,Ethiopia,Manufacturing,Micro,9,213108,2025-09-07,Addis Ababa,Addis Ababa,Active
C00145,QuantumLabs 145,USA,Healthcare Tech,Medium,161,446988,2024-09-03,Gondar,Amhara,Active
C00146,EmberSystems 146,USA,E-Commerce,Large,636,12160720,2025-01-11,Addis Ababa,Addis Ababa,Active
C00147,OrbitNet 147,USA,Technology,Large,723,4673065,2024-01-14,Jimma,Oromia,Active
C00148,CobaltLabs 148,USA,Logistics,Enterprise,47196,176587595,2024-02-21,Dire Dawa,Dire Dawa,Active
C00149,Tana Agro,Ethiopia,Retail,Medium,120,661396,2022-06-17,Addis Ababa,Addis Ababa,Active
C00150,Awash Services,Ethiopia,Manufacturing,Micro,7,117247,2025-09-20,Dire Dawa,Dire Dawa,Active
C00151,Bale Investment,Ethiopia,Manufacturing,Large,1994,8721719,2025-08-08,Adama,Oromia,Active
C00152,HelixTech 152,USA,Cloud Services,Small,46,364430,2022-09-21,Addis Ababa,Addis Ababa,Active
C00153,Rift Trading,Ethiopia,Real Estate,Medium,90,262946,2024-03-31,Shashamane,Oromia,Active
C00154,Nile Trading,Ethiopia,Real Estate,Micro,3,49299,2024-11-09,Addis Ababa,Addis Ababa,Active
C00155,EmberWorks 155,USA,FinTech,Micro,6,153702,2024-09-25,Jijiga,Somali,Active
C00156,AxiomGroup 156,USA,Technology,Micro,9,58270,2023-08-14,  Addis Ababa,Addis Ababa,Dissolved
C00157,EmberSystems 157,USA,Healthcare Tech,Medium,165,1712569,2022-04-02,Jimma,Oromia,Active
C00158,CipherSolutions 158,USA,Cloud Services,Small,42,328646,2024-06-16,Addis Ababa,Addis Ababa,Active
C00159,QuantumGroup 159,USA,Cloud Services,Small,44,269406,2025-09-24,Bishoftu,Oromia,Active
C00160,Harar Real Estate,Ethiopia,Real Estate,Medium,109,865306,2025-01-23,Addis Ababa,Addis Ababa,Active
C00161,ApexTech 161,USA,Technology,Enterprise,47417,138683536,2022-11-29,Dire Dawa,Dire Dawa,Dissolved
C00162,AxiomSystems 162,USA,Healthcare Tech,Small,49,339648,2024-03-08,Addis Ababa,Addis Ababa,Active
C00163,Helixdigital 163,USA,Consulting,Micro,1,31119,2023-07-05,Gondar,Amhara,Active
C00164,NovaTech 164,USA,FinTech,Small,49,520663,2024-10-19,Sodo,SNNPR,Active
C00165,Addis Agro,Ethiopia,Retail,Micro,8,187141,2023-04-27,Harar,Harari,Suspended
C00166,VortexNet 166,USA,E-Commerce,Medium,237,480691,2025-07-28,Addis Ababa,Addis Ababa,Active
C00167,AetherSolutions 167,USA,Cloud Services,Small,47,169587,2025-03-17,Jijiga,Somali,Active
C00168,Awash Services,Ethiopia,Import/Export,Micro,5,110733,2024-08-15,Addis Ababa,Addis Ababa,Active
C00169,IonicDigital 169,USA,Cloud Services,Small,13,71780,2022-03-10,Adama,Oromia,Active
C00170,Gambella Manufacturing,Ethiopia,Import/Export,Small,35,43083,2024-06-22,Addis Ababa,Addis Ababa,Active
C00171,QuantumDigital 171,USA,Technology,Medium,102,1322670,2025-08-28,Nekemte,Oromia,Active
C00172,VertexDigital 172,USA,EdTech,Small,23,124646,2022-04-21,Addis Ababa,Addis Ababa,Active
C00173,SynapseSystems 173,USA,Consulting,Micro,8,370916,2025-06-06,Addis Ababa,Addis Ababa,Active
C00174,CascadeIO 174,USA,Healthcare Tech,Small,32,97478,2025-05-24,Shashamane,Oromia,Active
C00175,ApexDigital 175,USA,Healthcare Tech,Medium,76,376564,2024-09-01,Addis Ababa,Addis Ababa,Active
C00176,IonicIO 176,USA,Logistics,Large,4402,32289638,2023-04-04,Jimma,Oromia,Active
C00177,ZenithDigital 177,USA,Healthcare Tech,Micro,9,28138,2022-09-21,Dire Dawa,Dire Dawa,Active
C00178,QuantumData 178,USA,Cloud Services,Medium,186,2859193,2022-12-01,Addis Ababa,Addis Ababa,Active
C00179,Oromia Real Estate,Ethiopia,Manufacturing,Small,44,127520,2024-02-09,Arba Minch,SNNPR,Active
C00180,IonicLabs 180,USA,Healthcare Tech,Medium,83,208225,2023-04-26,Sodo,SNNPR,Active
C00181,VortexTech 181,USA,EdTech,Small,34,154027,2024-01-09,Addis Ababa,Addis Ababa,Active
C00182,sYNAPSEio 182,USA,Logistics,Medium,83,301239,2025-11-17,Addis Ababa,Addis Ababa,Active
C00183,ZenithTech 183,USA,E-Commerce,Small,43,258934,2025-09-10,Dire Dawa,Dire Dawa,Active
C00184,StratosCloud 184,USA,Technology,Micro,1,206518,2025-07-24,Addis Ababa,Addis Ababa,Active
C00185,Abay Construction,Ethiopia,Construction,Medium,134,1983678,2022-04-29,Bahir Dar,Amhara,Active
C00186,Bale Services,Ethiopia,Agriculture,Large,4830,41935153,2024-02-06,Addis Ababa,Addis Ababa,Active
C00187,FluxAI 187,USA,Technology,Medium,210,10663321,2024-03-30,Addis Ababa,Addis Ababa,Active
C00188,Tigray Textile,Ethiopia,Agriculture,Small,45,53490,2024-07-12,Arba Minch,SNNPR,Active
C00189,NexusDigital 189,USA,Healthcare Tech,Medium,154,611787,2023-04-19,Addis Ababa,Addis Ababa,Active
C00190,OrbitAI 190,USA,EdTech,Small,28,119566,2024-05-25,Addis Ababa,Addis Ababa,Active
C00191,CipherDynamics 191,USA,Cloud Services,Small,21,81690,2025-10-25,Addis Ababa,Addis Ababa,Active
C00192,OrbitGroup 192,USA,Logistics,Micro,8,247935,2024-07-24,Addis Ababa,Addis Ababa,Active
C00193,AetherCloud 193,USA,Technology,Small,39,741495,2023-04-07,Addis Ababa,Addis Ababa,Active
C00194,Bale Construction,Ethiopia,Import/Export,Small,15,97092,2025-09-22,Addis Ababa,Addis Ababa,Active
C00195,SynapseIO 195,USA,Consulting,Micro,5,48192,2022-08-08,Addis Ababa,Addis Ababa,Active
C00196,FluxLabs 196,USA,EdTech,Small,10,150099,2023-06-10,Addis Ababa,Addis Ababa,Active
C00197,StratosAI 197,USA,Logistics,Medium,247,1361771,2025-02-01,Dire Dawa,Dire Dawa,Suspended
C00198,SynapseTech 198,USA,Consulting,Micro,1,87155,2025-01-17,Gondar,Amhara,Active
C00199,Tigray Trading,Ethiopia,Real Estate,Small,48,168649,2023-08-08,Nekemte,Oromia,Active
C00200,Simien Services,Ethiopia,Tourism,Small,42,507430,2025-06-14,Addis Ababa,Addis Ababa,Active
C00201,Harar Services,Ethiopia,Tourism,Small,40,167873,2023-01-06,Addis Ababa,Addis Ababa,Suspended
C00202,Awash Services,Ethiopia,Manufacturing,Medium,211,546960,2024-11-23,Mekelle,Tigray,Active
C00203,SynapseIO 203,USA,EdTech,Medium,214,819893,2025-01-27,Addis Ababa,Addis Ababa,Active
C00204,Oromia Textile,Ethiopia,Agriculture,Small,39,114165,2024-05-15,Addis Ababa,Addis Ababa,Active
C00205,PrismVentures 205,USA,Healthcare Tech,Micro,2,160268,2024-06-23,Addis Ababa,Addis Ababa,Active
C00206,NexusLabs 206,USA,Technology,Large,4328,151803575,2022-03-10,Addis Ababa,Addis Ababa,Active
C00207,AetherAI 207,USA,Logistics,Micro,8,129153,2023-07-29,Hawassa,Sidama,Suspended
C00208,VortexSolutions 208,USA,Cloud Services,Large,1828,16506448,2023-11-28,Addis Ababa,Addis Ababa,Dissolved
C00209,CobaltCloud 209,USA,FinTech,Medium,180,3830789,2022-09-02,Asella,Oromia,Active
C00210,Gambella Services,Ethiopia,Manufacturing,Large,2652,3021308,2024-07-21,Addis Ababa,Addis Ababa,Active
C00211,Oromia Investment,Ethiopia,Manufacturing,Small,47,149215,2022-08-16,Mekelle,Tigray,Suspended
C00212,Nile Trading,Ethiopia,Construction,Medium,242,1844389,2024-02-19,Bahir Dar,Amhara,Suspended
C00213,QuantumCloud 213,USA,E-Commerce,Micro,5,45184,2022-09-11,  Adama,Oromia,Active
C00214,OrbitSystems 214,USA,EdTech,Large,3295,29893256,2024-04-15,Addis Ababa,Addis Ababa,Active
C00215,SynapseCloud 215,USA,FinTech,Medium,186,651976,2025-10-25,Addis Ababa,Addis Ababa,Active
C00216,AetherDigital 216,USA,Healthcare Tech,Small,48,63555,2022-03-29,Hawassa,Sidama,Active
C00217,AxiomVentures 217,USA,EdTech,Small,33,98785,2022-08-30,Dire Dawa,Dire Dawa,Active
C00218,NovaHub 218,USA,Consulting,Medium,126,728420,2023-11-09,Mekelle,Tigray,Active
C00219,IonicNet 219,USA,Healthcare Tech,Medium,80,1070090,2025-11-03,Harar,Harari,Suspended
C00220,Rift Manufacturing,Ethiopia,Manufacturing,Small,37,130033,2023-12-16,Dire Dawa,Dire Dawa,Active
C00221,VertexSolutions 221,USA,FinTech,Medium,232,1247570,2024-07-30,Gondar,Amhara,Active
C00222,AetherDigital 222,USA,Cloud Services,Medium,143,486060,2025-03-02,Addis Ababa,Addis Ababa,Suspended
C00223,CobaltDynamics 223,USA,Technology,Micro,8,150066,2022-02-11,Addis Ababa,Addis Ababa,Active
C00224,Simien Construction,Ethiopia,Retail,Micro,4,149161,2022-03-08,Shashamane,Oromia,Active
C00225,Nile Import Export,Ethiopia,Agriculture,Small,34,241848,2022-06-21,Addis Ababa,Addis Ababa,Active
C00226,VortexAI 226,USA,Technology,Micro,2,97011,2025-09-03,Jimma,Oromia,Active
C00227,Rift Trading,Ethiopia,Agriculture,Small,38,337964,2025-10-04,Addis Ababa,Addis Ababa,Active
C00228,Awash Agro,Ethiopia,Retail,Medium,142,940646,2025-12-15,Asella,Oromia,Active
C00229,Harar Services,Ethiopia,Tourism,Small,24,63051,2025-02-07,Adama,Oromia,Active
C00230,Tana Trading,Ethiopia,Agriculture,Large,387,1716909,2023-12-11,Shashamane,Oromia,Active
C00231,NovaNet 231,USA,Logistics,Micro,8,135439,2025-12-04,Jijiga,Somali,Active
C00232,Oromia Real Estate,Ethiopia,Import/Export,Micro,6,48236,2023-01-19,Dessie,Amhara,Active
C00233,Harar PLC,Ethiopia,Import/Export,Micro,1,142508,2022-10-16,Mekelle,Tigray,Active
C00234,Tigray Textile,Ethiopia,Real Estate,Medium,173,807148,2025-10-29,Shashamane,Oromia,Active
C00235,VertexCloud 235,USA,Cloud Services,Small,16,33003,2023-09-17,Bishoftu,Oromia,Active
C00236,HelixSolutions 236,USA,E-Commerce,Medium,211,2682946,2024-10-25,Addis Ababa,Addis Ababa,Dissolved
C00237,Tigray Investment,Ethiopia,Manufacturing,Micro,4,160812,2024-02-26,Gondar,Amhara,Active
C00238,CobaltNet 238,USA,E-Commerce,Micro,8,31012,2025-02-19,Addis Ababa,Addis Ababa,Active
C00239,VertexVentures 239,USA,E-Commerce,Small,18,824015,2022-05-20,Addis Ababa,Addis Ababa,Active
C00240,Simien Trading,Ethiopia,Retail,Medium,236,1073540,2023-08-20,Bahir Dar,Amhara,Active
C00241,Harar Services,Ethiopia,Tourism,Enterprise,17306,176381206,2023-04-24,Hawassa,Sidama,Active
C00242,CipherTech 242,USA,Logistics,Small,43,356107,2024-08-25,Dire Dawa,Dire Dawa,Active
C00243,Bale Real Estate,Ethiopia,Retail,Small,11,38201,2024-06-14,Jimma,Oromia,Active
C00244,StratosData 244,USA,FinTech,Small,18,114516,2022-07-30,Dire Dawa,Dire Dawa,Active
C00245,PrismIO 245,USA,E-Commerce,Small,22,145998,2025-01-24,Gondar,Amhara,Active
C00246,Rift Real Estate,Ethiopia,Construction,Micro,7,118076,2024-07-19,Bahir Dar,Amhara,Active
C00247,CobaltDynamics 247,USA,Logistics,Micro,4,86650,2022-11-29,Addis Ababa,Addis Ababa,Active
C00248,ApexGroup 248,USA,Technology,Small,26,220250,2025-12-05,Hosaena,SNNPR,Dissolved
C00249,Amhara Real Estate,Ethiopia,Agriculture,Medium,134,2591813,2025-07-30,Shashamane,Oromia,Active
C00250,EmberNet 250,USA,Technology,Large,1033,5535324,2024-07-25,Addis Ababa,Addis Ababa,Active
C00251,OrbitAI  251,USA,Healthcare Tech,Micro,7,145425,2022-05-08,Hosaena,SNNPR,Active
C00252,Amhara Agro,Ethiopia,Manufacturing,Micro,4,67173,2023-02-11,Addis Ababa,Addis Ababa,Active
C00253,Amhara Agro,Ethiopia,Real Estate,Medium,180,414897,2024-08-02,Gondar,Amhara,Active
