split,entity_key,scenario,target,component,error,score,threshold,interpretation,interpretation_status,run
validation,Person:P01060,declared_trading,False,network,unavailable,,0.5,Temporal circular paths and active family/business context,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01060,declared_trading,False,gnn,unavailable,,0.65,No trained GNN artifact,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01060,declared_trading,False,fusion,unavailable,,0.35,No available component scores,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01120,asset_sale,False,gnn,false_positive,0.6600791782225253,0.65,Normal asset-sale context: amount/history ratio 55.4; the graph encodes amount and history but not transaction purpose. The explicit amount rule uses that purpose and does not flag this case.,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01220,amount,True,anomaly,false_negative,0.3100343845354689,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01220,amount,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01220,amount,True,gnn,false_negative,0.1895936743939454,0.65,"Only eight positive training cases. Aggregate graph features omit rule-specific transaction-purpose, declaration and travel semantics.","feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01300,geography,True,anomaly,false_negative,0.46584152282569347,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01300,geography,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01300,geography,True,gnn,false_negative,0.10684577717717533,0.65,"Only eight positive training cases. Aggregate graph features omit rule-specific transaction-purpose, declaration and travel semantics.","feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01320,declared_trading,False,rules,unavailable,,0.5,Explicit checks over cutoff-valid source facts,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01320,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01320,declared_trading,False,network,unavailable,,0.5,Temporal circular paths and active family/business context,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01320,declared_trading,False,gnn,unavailable,,0.65,No trained GNN artifact,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01320,declared_trading,False,fusion,unavailable,,0.35,No available component scores,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01330,family,True,rules,false_negative,0.0,0.5,Six explicit checks do not cover family/circular routing; network analysis supplies that evidence.,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01330,family,True,anomaly,false_negative,0.49191455861076694,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01350,structuring,True,anomaly,false_negative,0.29818224122578785,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01350,structuring,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01470,declared_trading,False,rules,unavailable,,0.5,Explicit checks over cutoff-valid source facts,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01470,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01470,declared_trading,False,network,unavailable,,0.5,Temporal circular paths and active family/business context,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01470,declared_trading,False,gnn,unavailable,,0.65,No trained GNN artifact,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01470,declared_trading,False,fusion,unavailable,,0.35,No available component scores,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01490,declared_trading,False,rules,unavailable,,0.5,Explicit checks over cutoff-valid source facts,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01490,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01490,declared_trading,False,network,unavailable,,0.5,Temporal circular paths and active family/business context,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01490,declared_trading,False,gnn,unavailable,,0.65,No trained GNN artifact,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01490,declared_trading,False,fusion,unavailable,,0.35,No available component scores,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01550,declared_trading,False,rules,unavailable,,0.5,Explicit checks over cutoff-valid source facts,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01550,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01550,declared_trading,False,network,unavailable,,0.5,Temporal circular paths and active family/business context,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01550,declared_trading,False,gnn,unavailable,,0.65,No trained GNN artifact,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01550,declared_trading,False,fusion,unavailable,,0.35,No available component scores,"feature/coverage diagnosis, not causal proof",baseline
validation,Person:P01590,theft,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",baseline
train,Person:P00050,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00090,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00120,amount,True,anomaly,false_negative,0.31855226521011293,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00120,amount,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
train,Person:P00140,geography,True,anomaly,false_negative,0.4773410777643812,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00140,geography,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
train,Person:P00150,asset_sale,False,gnn,false_positive,0.8962807363326606,0.65,Normal asset-sale context: amount/history ratio 47.1; the graph encodes amount and history but not transaction purpose. The explicit amount rule uses that purpose and does not flag this case.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00190,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00230,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00280,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00300,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00310,theft,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
train,Person:P00420,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00470,asset_sale,False,gnn,false_positive,0.7884131481320484,0.65,Normal asset-sale context: amount/history ratio 45.4; the graph encodes amount and history but not transaction purpose. The explicit amount rule uses that purpose and does not flag this case.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00520,asset_sale,False,gnn,false_positive,0.7648330864659376,0.65,Normal asset-sale context: amount/history ratio 53.9; the graph encodes amount and history but not transaction purpose. The explicit amount rule uses that purpose and does not flag this case.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00550,family,True,rules,false_negative,0.0,0.5,Six explicit checks do not cover family/circular routing; network analysis supplies that evidence.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00550,family,True,anomaly,false_negative,0.47184953958929643,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00570,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00640,structuring,True,anomaly,false_negative,0.33176811293977504,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00640,structuring,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
train,Person:P00740,tax,True,anomaly,false_negative,0.22711160818376427,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00740,tax,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
train,Person:P00750,network,True,rules,false_negative,0.0,0.5,Six explicit checks do not cover family/circular routing; network analysis supplies that evidence.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00750,network,True,anomaly,false_negative,0.5061936764790068,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00760,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00780,velocity,True,anomaly,false_negative,0.263703767075331,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
train,Person:P00780,velocity,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
validation,Person:P00840,velocity,True,anomaly,false_negative,0.263703767075331,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P00840,velocity,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
validation,Person:P00860,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P00870,network,True,rules,false_negative,0.0,0.5,Six explicit checks do not cover family/circular routing; network analysis supplies that evidence.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P00870,network,True,anomaly,false_negative,0.48546151943485116,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P00880,tax,True,anomaly,false_negative,0.23902014704213195,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P00880,tax,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
validation,Person:P00920,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P00960,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01000,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01050,asset_sale,False,gnn,false_positive,0.8772810786119318,0.65,Normal asset-sale context: amount/history ratio 57.8; the graph encodes amount and history but not transaction purpose. The explicit amount rule uses that purpose and does not flag this case.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01060,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01220,amount,True,anomaly,false_negative,0.3100343845354689,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01220,amount,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
validation,Person:P01300,geography,True,anomaly,false_negative,0.46584152282569347,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01300,geography,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
validation,Person:P01320,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01330,family,True,rules,false_negative,0.0,0.5,Six explicit checks do not cover family/circular routing; network analysis supplies that evidence.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01330,family,True,anomaly,false_negative,0.49191455861076694,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01350,structuring,True,anomaly,false_negative,0.29818224122578785,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01350,structuring,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
validation,Person:P01380,asset_sale,False,gnn,false_positive,0.8258571542001568,0.65,Normal asset-sale context: amount/history ratio 43.2; the graph encodes amount and history but not transaction purpose. The explicit amount rule uses that purpose and does not flag this case.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01390,asset_sale,False,gnn,false_positive,0.6792454519842195,0.65,Normal asset-sale context: amount/history ratio 52.0; the graph encodes amount and history but not transaction purpose. The explicit amount rule uses that purpose and does not flag this case.,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01470,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01490,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01550,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
validation,Person:P01590,theft,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
test,Person:P01700,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
test,Person:P01720,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
test,Person:P01730,geography,True,anomaly,false_negative,0.48946013840146047,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P01730,geography,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
test,Person:P01750,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
test,Person:P01760,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
test,Person:P01790,theft,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
test,Person:P01870,structuring,True,anomaly,false_negative,0.28882607720114406,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P01870,structuring,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
test,Person:P01910,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
test,Person:P01950,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
test,Person:P01980,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02000,amount,True,anomaly,false_negative,0.3058242235801471,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02000,amount,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
test,Person:P02010,asset_sale,False,gnn,false_positive,0.8425339605773702,0.65,Normal asset-sale context: amount/history ratio 47.9; the graph encodes amount and history but not transaction purpose. The explicit amount rule uses that purpose and does not flag this case.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02050,asset_sale,False,gnn,false_positive,0.7665094377671892,0.65,Normal asset-sale context: amount/history ratio 52.9; the graph encodes amount and history but not transaction purpose. The explicit amount rule uses that purpose and does not flag this case.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02060,asset_sale,False,gnn,false_positive,0.8849513689072049,0.65,Normal asset-sale context: amount/history ratio 53.0; the graph encodes amount and history but not transaction purpose. The explicit amount rule uses that purpose and does not flag this case.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02150,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02160,velocity,True,anomaly,false_negative,0.263703767075331,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02160,velocity,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
test,Person:P02240,asset_sale,False,gnn,false_positive,0.7281998545559581,0.65,Normal asset-sale context: amount/history ratio 52.9; the graph encodes amount and history but not transaction purpose. The explicit amount rule uses that purpose and does not flag this case.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02250,tax,True,anomaly,false_negative,0.23496071280181563,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02250,tax,True,network,false_negative,0.0,0.5,"Temporal paths target circular/family flows; individual amount, geography, tax and device cases need other components.","feature/coverage diagnosis, not causal proof",selected
test,Person:P02310,family,True,rules,false_negative,0.0,0.5,Six explicit checks do not cover family/circular routing; network analysis supplies that evidence.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02310,family,True,anomaly,false_negative,0.4638871312943804,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02340,network,True,rules,false_negative,0.0,0.5,Six explicit checks do not cover family/circular routing; network analysis supplies that evidence.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02340,network,True,anomaly,false_negative,0.49731895140537075,0.65,Generic deviation is not suspicious intent: normal controls overlap; top-three averaging can dilute a single strong feature.,"feature/coverage diagnosis, not causal proof",selected
test,Person:P02350,declared_trading,False,anomaly,unavailable,,0.65,Insufficient historical or recent behavior,"feature/coverage diagnosis, not causal proof",selected
